n,distribution,chromatic_number,clique_number,max_independent_set_size,domination_number,min_clique_cover_size,chromatic_number_norm,clique_number_norm,max_independent_set_size_norm,domination_number_norm,min_clique_cover_size_norm,chromatic_to_clique_ratio,chromatic_to_max_independent_ratio,clique_to_max_independent_ratio,domination_to_clique_ratio,min_clique_cover_to_chromatic_ratio,n_bin_medium,n_bin_large
300,1,135,123,4,246,5,0.45,0.41,0.013333333333333334,0.82,0.016666666666666666,1.0975609756097562,33.75,30.75,2.0,0.037037037037037035,True,False
450,0,168,134,6,352,7,0.37333333333333335,0.29777777777777775,0.013333333333333334,0.7822222222222223,0.015555555555555555,1.2537313432835822,28.0,22.333333333333332,2.626865671641791,0.041666666666666664,False,True
100,1,47,36,3,51,4,0.47,0.36,0.03,0.51,0.04,1.3055555555555556,15.666666666666666,12.0,1.4166666666666667,0.0851063829787234,False,False
350,0,123,118,5,335,7,0.3514285714285714,0.33714285714285713,0.014285714285714285,0.9571428571428572,0.02,1.0423728813559323,24.6,23.6,2.8389830508474576,0.056910569105691054,False,True
450,1,194,146,6,378,6,0.4311111111111111,0.3244444444444444,0.013333333333333334,0.84,0.013333333333333334,1.3287671232876712,32.333333333333336,24.333333333333332,2.589041095890411,0.030927835051546393,False,True
150,0,55,51,5,135,7,0.36666666666666664,0.34,0.03333333333333333,0.9,0.04666666666666667,1.0784313725490196,11.0,10.2,2.6470588235294117,0.12727272727272726,True,False
50,0,20,16,4,32,5,0.4,0.32,0.08,0.64,0.1,1.25,5.0,4.0,2.0,0.25,False,False
50,0,25,21,4,22,4,0.5,0.42,0.08,0.44,0.08,1.1904761904761905,6.25,5.25,1.0476190476190477,0.16,False,False
150,0,60,47,6,131,7,0.4,0.31333333333333335,0.04,0.8733333333333333,0.04666666666666667,1.2765957446808511,10.0,7.833333333333333,2.7872340425531914,0.11666666666666667,True,False
250,0,80,78,7,233,8,0.32,0.312,0.028,0.932,0.032,1.0256410256410255,11.428571428571429,11.142857142857142,2.9871794871794872,0.1,True,False
450,0,159,148,6,337,7,0.35333333333333333,0.3288888888888889,0.013333333333333334,0.7488888888888889,0.015555555555555555,1.0743243243243243,26.5,24.666666666666668,2.277027027027027,0.0440251572327044,False,True
300,1,133,109,5,214,6,0.44333333333333336,0.36333333333333334,0.016666666666666666,0.7133333333333334,0.02,1.2201834862385321,26.6,21.8,1.963302752293578,0.045112781954887216,True,False
500,1,221,187,4,336,5,0.442,0.374,0.008,0.672,0.01,1.1818181818181819,55.25,46.75,1.7967914438502675,0.02262443438914027,False,True
200,0,74,60,4,142,6,0.37,0.3,0.02,0.71,0.03,1.2333333333333334,18.5,15.0,2.3666666666666667,0.08108108108108109,True,False
400,0,150,132,5,384,7,0.375,0.33,0.0125,0.96,0.0175,1.1363636363636365,30.0,26.4,2.909090909090909,0.04666666666666667,False,True
300,1,145,128,4,292,6,0.48333333333333334,0.4266666666666667,0.013333333333333334,0.9733333333333334,0.02,1.1328125,36.25,32.0,2.28125,0.041379310344827586,True,False
250,1,113,91,4,223,5,0.452,0.364,0.016,0.892,0.02,1.2417582417582418,28.25,22.75,2.4505494505494507,0.04424778761061947,True,False
450,1,186,181,5,431,7,0.41333333333333333,0.4022222222222222,0.011111111111111112,0.9577777777777777,0.015555555555555555,1.0276243093922652,37.2,36.2,2.3812154696132595,0.03763440860215054,False,True
350,0,128,104,5,269,7,0.3657142857142857,0.29714285714285715,0.014285714285714285,0.7685714285714286,0.02,1.2307692307692308,25.6,20.8,2.5865384615384617,0.0546875,False,True
250,1,117,86,4,220,6,0.468,0.344,0.016,0.88,0.024,1.3604651162790697,29.25,21.5,2.558139534883721,0.05128205128205128,True,False
100,1,47,33,3,45,4,0.47,0.33,0.03,0.45,0.04,1.4242424242424243,15.666666666666666,11.0,1.3636363636363635,0.0851063829787234,False,False
300,0,108,103,6,295,7,0.36,0.3433333333333333,0.02,0.9833333333333333,0.023333333333333334,1.0485436893203883,18.0,17.166666666666668,2.8640776699029127,0.06481481481481481,True,False
150,1,77,76,4,125,5,0.5133333333333333,0.5066666666666667,0.02666666666666667,0.8333333333333334,0.03333333333333333,1.013157894736842,19.25,19.0,1.644736842105263,0.06493506493506493,True,False
50,0,24,18,4,33,5,0.48,0.36,0.08,0.66,0.1,1.3333333333333333,6.0,4.5,1.8333333333333333,0.20833333333333334,False,False
200,0,75,62,5,173,6,0.375,0.31,0.025,0.865,0.03,1.2096774193548387,15.0,12.4,2.7903225806451615,0.08,True,False
400,0,144,137,5,377,7,0.36,0.3425,0.0125,0.9425,0.0175,1.051094890510949,28.8,27.4,2.7518248175182483,0.04861111111111111,False,True
350,1,163,131,4,303,6,0.4657142857142857,0.3742857142857143,0.011428571428571429,0.8657142857142858,0.017142857142857144,1.2442748091603053,40.75,32.75,2.312977099236641,0.03680981595092025,False,True
25,0,12,9,4,15,4,0.48,0.36,0.16,0.6,0.16,1.3333333333333333,3.0,2.25,1.6666666666666667,0.3333333333333333,False,False
450,1,183,165,5,380,6,0.4066666666666667,0.36666666666666664,0.011111111111111112,0.8444444444444444,0.013333333333333334,1.1090909090909091,36.6,33.0,2.303030303030303,0.03278688524590164,False,True
200,1,93,71,5,176,6,0.465,0.355,0.025,0.88,0.03,1.3098591549295775,18.6,14.2,2.4788732394366195,0.06451612903225806,True,False
100,1,43,35,4,94,5,0.43,0.35,0.04,0.94,0.05,1.2285714285714286,10.75,8.75,2.6857142857142855,0.11627906976744186,False,False
400,1,172,151,4,349,6,0.43,0.3775,0.01,0.8725,0.015,1.1390728476821192,43.0,37.75,2.3112582781456954,0.03488372093023256,False,True
400,0,149,129,5,316,6,0.3725,0.3225,0.0125,0.79,0.015,1.1550387596899225,29.8,25.8,2.449612403100775,0.040268456375838924,False,True
350,0,114,110,6,319,8,0.32571428571428573,0.3142857142857143,0.017142857142857144,0.9114285714285715,0.022857142857142857,1.0363636363636364,19.0,18.333333333333332,2.9,0.07017543859649122,False,True
400,0,141,121,5,299,7,0.3525,0.3025,0.0125,0.7475,0.0175,1.165289256198347,28.2,24.2,2.4710743801652892,0.04964539007092199,False,True
150,1,60,51,4,114,5,0.4,0.34,0.02666666666666667,0.76,0.03333333333333333,1.1764705882352942,15.0,12.75,2.235294117647059,0.08333333333333333,True,False
100,1,45,34,4,51,4,0.45,0.34,0.04,0.51,0.04,1.3235294117647058,11.25,8.5,1.5,0.08888888888888889,False,False
50,0,18,15,5,43,6,0.36,0.3,0.1,0.86,0.12,1.2,3.6,3.0,2.8666666666666667,0.3333333333333333,False,False
400,0,139,127,5,312,7,0.3475,0.3175,0.0125,0.78,0.0175,1.094488188976378,27.8,25.4,2.456692913385827,0.050359712230215826,False,True
25,0,12,11,4,12,5,0.48,0.44,0.16,0.48,0.2,1.0909090909090908,3.0,2.75,1.0909090909090908,0.4166666666666667,False,False
250,1,108,94,5,223,6,0.432,0.376,0.02,0.892,0.024,1.148936170212766,21.6,18.8,2.372340425531915,0.05555555555555555,True,False
50,0,17,13,5,47,6,0.34,0.26,0.1,0.94,0.12,1.3076923076923077,3.4,2.6,3.6153846153846154,0.35294117647058826,False,False
250,1,120,91,4,149,5,0.48,0.364,0.016,0.596,0.02,1.3186813186813187,30.0,22.75,1.6373626373626373,0.041666666666666664,True,False
150,1,67,54,4,54,5,0.44666666666666666,0.36,0.02666666666666667,0.36,0.03333333333333333,1.2407407407407407,16.75,13.5,1.0,0.07462686567164178,True,False
500,1,222,212,5,429,7,0.444,0.424,0.01,0.858,0.014,1.0471698113207548,44.4,42.4,2.0235849056603774,0.03153153153153153,False,True
25,0,9,8,4,7,5,0.36,0.32,0.16,0.28,0.2,1.125,2.25,2.0,0.875,0.5555555555555556,False,False
500,1,207,194,5,497,6,0.414,0.388,0.01,0.994,0.012,1.0670103092783505,41.4,38.8,2.5618556701030926,0.028985507246376812,False,True
250,0,82,76,5,227,6,0.328,0.304,0.02,0.908,0.024,1.0789473684210527,16.4,15.2,2.986842105263158,0.07317073170731707,True,False
250,0,99,79,5,194,7,0.396,0.316,0.02,0.776,0.028,1.2531645569620253,19.8,15.8,2.4556962025316458,0.0707070707070707,True,False
200,0,70,60,5,178,6,0.35,0.3,0.025,0.89,0.03,1.1666666666666667,14.0,12.0,2.966666666666667,0.08571428571428572,True,False
25,1,16,13,4,23,5,0.64,0.52,0.16,0.92,0.2,1.2307692307692308,4.0,3.25,1.7692307692307692,0.3125,False,False
50,1,24,23,4,25,4,0.48,0.46,0.08,0.5,0.08,1.0434782608695652,6.0,5.75,1.0869565217391304,0.16666666666666666,False,False
300,1,129,106,4,260,5,0.43,0.35333333333333333,0.013333333333333334,0.8666666666666667,0.016666666666666666,1.2169811320754718,32.25,26.5,2.452830188679245,0.03875968992248062,True,False
450,1,202,200,4,368,6,0.4488888888888889,0.4444444444444444,0.008888888888888889,0.8177777777777778,0.013333333333333334,1.01,50.5,50.0,1.84,0.0297029702970297,False,True
50,0,19,14,4,39,5,0.38,0.28,0.08,0.78,0.1,1.3571428571428572,4.75,3.5,2.7857142857142856,0.2631578947368421,False,False
450,1,195,177,6,390,6,0.43333333333333335,0.3933333333333333,0.013333333333333334,0.8666666666666667,0.013333333333333334,1.1016949152542372,32.5,29.5,2.2033898305084745,0.03076923076923077,False,True
450,0,185,133,6,361,7,0.4111111111111111,0.29555555555555557,0.013333333333333334,0.8022222222222222,0.015555555555555555,1.3909774436090225,30.833333333333332,22.166666666666668,2.7142857142857144,0.03783783783783784,False,True
250,0,88,81,4,184,6,0.352,0.324,0.016,0.736,0.024,1.0864197530864197,22.0,20.25,2.271604938271605,0.06818181818181818,True,False
200,0,75,71,6,177,7,0.375,0.355,0.03,0.885,0.035,1.056338028169014,12.5,11.833333333333334,2.492957746478873,0.09333333333333334,True,False
25,1,12,11,3,10,4,0.48,0.44,0.12,0.4,0.16,1.0909090909090908,4.0,3.6666666666666665,0.9090909090909091,0.3333333333333333,False,False
50,0,20,17,5,38,5,0.4,0.34,0.1,0.76,0.1,1.1764705882352942,4.0,3.4,2.235294117647059,0.25,False,False
100,1,50,36,4,49,4,0.5,0.36,0.04,0.49,0.04,1.3888888888888888,12.5,9.0,1.3611111111111112,0.08,False,False
100,0,39,32,4,77,5,0.39,0.32,0.04,0.77,0.05,1.21875,9.75,8.0,2.40625,0.1282051282051282,False,False
25,1,14,12,3,11,3,0.56,0.48,0.12,0.44,0.12,1.1666666666666667,4.666666666666667,4.0,0.9166666666666666,0.21428571428571427,False,False
250,0,96,74,4,184,6,0.384,0.296,0.016,0.736,0.024,1.2972972972972974,24.0,18.5,2.4864864864864864,0.0625,True,False
50,1,19,19,3,27,5,0.38,0.38,0.06,0.54,0.1,1.0,6.333333333333333,6.333333333333333,1.4210526315789473,0.2631578947368421,False,False
