n,distribution,chromatic_number,clique_number,max_independent_set_size,domination_number,min_clique_cover_size
450,0,148,148,11,405,13
350,0,102,101,11,328,14
150,0,41,41,11,142,12
200,1,99,94,10,197,10
25,0,8,7,7,19,8
350,0,127,100,10,342,12
50,0,13,11,8,48,8
350,0,105,104,11,334,14
450,0,155,155,12,440,16
25,1,13,10,4,11,4
250,0,86,85,9,232,12
100,1,50,50,8,97,10
350,0,129,127,11,344,13
200,1,94,94,8,194,10
150,1,63,58,12,146,13
200,0,69,69,8,195,11
100,1,52,52,8,95,9
200,1,97,93,9,194,11
500,0,170,170,11,494,14
200,0,73,70,10,194,11
100,0,34,26,8,92,11
350,0,109,109,10,328,12
200,1,90,88,7,186,9
450,0,127,125,13,443,14
300,0,92,88,11,292,13
150,1,70,65,8,145,9
450,0,149,149,11,443,13
100,0,35,33,10,97,12
50,0,18,17,7,47,8
350,1,157,149,12,342,14
500,1,233,228,13,493,15
400,1,179,173,11,392,14
350,0,107,101,11,339,14
100,0,30,28,10,91,11
500,0,148,146,12,478,15
100,1,48,43,6,97,7
100,1,50,50,7,96,9
50,0,19,19,5,39,8
250,1,120,115,12,245,14
250,1,116,115,13,250,14
300,0,92,89,10,290,13
450,0,154,154,14,443,16
50,0,23,23,9,45,9
100,1,40,40,11,97,11
400,0,136,136,12,392,16
300,1,132,131,11,292,13
200,1,109,98,12,198,14
200,0,55,54,11,177,14
300,1,129,125,11,293,13
350,1,165,125,11,343,14
100,0,34,34,10,96,11
450,0,129,127,13,442,14
150,0,42,42,9,137,11
150,0,49,47,11,146,11
100,1,49,49,8,95,10
50,0,22,21,8,49,8
50,0,16,16,6,23,9
250,0,81,81,11,246,13
250,0,80,74,11,245,13
250,0,70,69,8,235,10
500,0,174,174,14,488,17
100,0,25,24,9,95,10
500,1,239,227,13,491,14
250,0,86,85,10,229,13
250,1,115,112,12,242,14
100,1,56,41,7,99,8
400,1,187,159,13,396,13
100,0,42,42,7,88,8
500,1,224,206,13,496,16
50,1,20,18,6,45,8
25,1,17,10,3,15,5
400,0,126,126,13,390,14
500,1,218,210,12,483,14
450,1,231,230,11,449,14
500,1,226,221,13,497,16
500,0,156,156,12,492,14
200,1,91,86,10,198,12
450,1,198,186,12,438,15
400,1,199,177,11,391,12
250,0,81,78,10,239,12
100,1,37,34,8,97,10
300,0,97,97,9,296,11
25,1,13,10,5,22,5
50,0,18,18,5,25,6
350,0,106,105,11,343,14
100,1,46,43,7,76,10
100,1,56,56,7,96,7
200,0,71,65,10,182,11
25,0,11,8,5,21,7
50,0,16,16,8,47,10
400,0,128,128,11,396,14
200,0,69,66,8,192,11
400,1,175,172,13,391,16
25,0,10,9,6,22,7
200,0,67,67,8,199,11
450,1,209,187,12,440,15
350,1,167,164,10,344,13
250,1,109,101,9,247,12
500,1,213,203,12,491,14
100,0,36,36,10,91,11
100,0,31,31,9,92,9
100,0,36,33,9,100,12
500,1,215,207,11,492,13
450,1,205,204,12,441,14
450,0,143,136,12,441,15
100,0,36,34,10,96,11
450,0,152,150,12,432,15
350,1,187,128,11,342,13
500,1,236,218,12,495,14
350,1,163,150,11,342,12
150,0,43,43,9,146,12
300,1,135,124,11,294,13
350,0,92,88,12,340,14
450,0,143,143,11,440,14
200,0,53,52,9,191,12
25,0,10,10,7,22,7
250,1,122,94,12,249,12
500,0,148,144,12,493,15
400,0,144,143,14,392,15
250,1,120,114,9,244,11
150,1,74,74,8,145,10
200,0,65,59,9,185,10
300,1,129,119,9,283,12
450,0,141,141,11,440,14
150,0,52,52,10,133,12
50,0,18,11,6,46,9
450,1,215,202,11,440,13
400,1,184,176,12,391,14
200,1,102,100,10,194,12
100,1,49,49,7,96,8
