n,distribution,chromatic_number,clique_number,max_independent_set_size,domination_number,min_clique_cover_size
200,0,67,67,6,180,7
400,1,176,164,5,327,6
300,1,129,118,4,276,6
200,1,89,72,4,168,5
150,1,72,53,4,125,5
150,1,68,62,6,141,6
50,0,20,18,3,24,4
250,0,88,74,5,218,7
400,0,139,119,5,282,7
200,1,85,74,4,166,6
50,0,19,17,5,48,6
150,0,60,46,6,139,7
350,0,129,110,5,272,6
300,0,117,109,6,258,7
100,0,38,31,4,76,6
100,0,35,28,4,50,6
500,1,200,166,6,406,7
50,0,18,16,5,35,6
100,0,41,35,5,96,6
350,0,116,112,6,344,7
400,1,165,150,5,330,6
450,1,208,190,5,390,6
200,0,69,54,6,194,7
25,1,12,9,2,9,3
400,1,167,141,4,333,6
300,0,106,81,5,154,6
400,1,185,162,5,370,6
250,0,86,84,5,230,7
100,0,34,34,5,85,5
350,1,157,132,6,316,6
25,0,10,9,4,23,5
250,0,91,84,6,176,7
100,0,40,33,5,75,6
400,1,165,145,5,386,6
50,0,20,18,4,41,5
500,1,219,197,4,409,5
450,0,165,144,6,433,8
350,0,136,108,5,252,6
150,0,58,48,4,115,6
300,1,138,126,4,249,6
250,0,91,77,5,207,6
200,1,97,73,4,152,5
25,1,11,8,3,14,4
500,0,169,148,6,393,7
450,1,187,167,4,369,5
200,1,90,86,3,95,4
350,1,157,153,4,281,6
300,1,126,108,5,225,6
250,0,111,103,5,211,6
450,0,165,145,6,355,7
400,1,175,142,5,344,6
100,0,35,31,5,85,5
300,0,108,82,6,282,7
450,0,161,154,6,318,7
500,0,181,169,5,388,7
450,0,148,137,6,444,7
350,0,128,110,5,239,6
150,0,57,51,5,136,7
200,1,90,85,4,108,5
25,0,10,10,5,24,5
350,0,135,100,5,260,7
50,0,22,21,4,18,4
350,0,134,118,5,321,7
450,0,159,147,5,350,7
25,1,12,10,2,8,3
250,0,91,83,4,202,6
100,1,49,48,4,70,5
350,0,123,105,5,303,7
200,1,80,71,4,94,5
150,1,66,57,4,59,4
200,0,67,59,6,185,7
100,1,50,46,5,96,5
200,1,86,72,4,157,5
500,0,175,148,5,432,7
200,0,80,66,5,190,7
100,0,36,32,5,71,6
350,0,128,119,5,314,7
200,1,91,69,5,160,5
450,0,161,157,5,349,7
300,0,118,102,5,254,6
150,1,65,59,4,60,5
450,0,172,126,7,445,8
100,0,37,28,4,92,6
50,0,21,19,4,29,5
350,1,151,124,4,283,5
500,1,222,208,6,433,6
400,1,162,156,5,365,6
350,0,130,123,6,330,7
100,0,40,40,4,48,5
500,0,195,185,5,373,7
100,1,44,41,4,41,5
100,1,58,39,3,50,4
50,0,23,23,4,41,5
250,1,115,109,4,119,5
250,1,104,101,5,199,6
300,0,101,96,7,285,7
450,0,168,153,5,435,7
50,0,21,14,4,35,5
100,1,45,45,3,53,4
400,0,152,128,7,385,8
300,1,147,129,4,265,6
200,1,79,64,4,110,5
200,0,60,59,6,131,7
300,1,119,104,3,107,5
350,1,146,122,4,287,5
100,0,46,38,5,99,6
450,0,175,156,6,430,8
150,0,58,45,4,104,5
150,0,62,51,6,145,7
100,1,41,38,4,43,5
50,0,23,17,5,44,6
50,0,20,18,4,26,5
250,0,105,95,5,245,7
250,0,94,88,5,179,7
250,0,102,87,4,177,6
500,0,174,139,6,471,7
100,0,39,37,4,54,5
500,1,220,181,4,379,6
250,0,95,84,6,186,6
250,1,113,103,4,211,6
100,1,44,33,4,52,5
400,1,174,164,5,353,6
100,0,35,32,5,91,6
500,1,209,155,5,362,6
50,1,26,21,3,47,5
25,1,11,11,3,8,3
400,0,146,133,6,331,6
500,1,223,188,5,414,6
450,1,187,141,6,446,7
500,1,213,190,4,397,5
500,0,189,165,5,405,7
200,1,92,79,5,164,6
450,1,215,171,5,375,6
400,1,197,165,5,316,6
250,0,88,83,6,185,7
100,1,43,35,4,89,5
300,0,113,106,5,244,7
25,1,11,11,3,5,4
50,0,18,15,3,12,4
350,0,130,122,5,293,7
100,1,47,34,4,66,5
100,1,41,40,4,83,5
200,0,77,74,6,172,6
25,0,15,13,3,21,4
50,0,16,14,5,25,6
400,0,147,141,6,297,7
200,0,77,62,6,149,7
400,1,176,142,5,376,6
25,0,16,11,3,15,3
200,0,77,61,5,191,7
450,1,186,153,5,357,6
350,1,152,133,4,135,5
250,1,110,91,4,215,5
500,1,221,196,4,407,6
100,0,37,31,5,79,7
100,0,36,29,5,64,6
100,0,42,39,4,60,5
500,1,212,208,4,446,6
450,1,184,154,5,359,6
450,0,179,144,5,348,6
100,0,35,35,4,63,5
450,0,163,134,5,386,7
350,1,144,113,5,178,5
500,1,221,195,5,430,6
350,1,148,135,6,275,6
150,0,64,59,6,147,6
300,1,135,112,5,261,5
350,0,124,116,4,269,6
450,0,168,161,6,444,8
200,0,83,78,4,138,6
25,0,10,10,4,18,5
250,1,108,88,6,246,7
500,0,173,165,7,490,8
400,0,158,139,6,319,7
250,1,112,107,5,205,6
150,1,80,53,4,127,5
200,0,71,55,6,174,7
300,1,135,116,4,254,6
450,0,161,150,6,427,7
150,0,65,45,5,146,6
50,0,24,21,4,38,5
450,1,209,186,4,403,6
400,1,194,181,5,343,6
200,1,86,65,3,178,5
100,1,50,50,5,87,6
200,1,81,75,5,157,6
500,1,198,188,4,398,6
500,1,220,190,4,423,6
500,1,193,175,5,436,6
450,0,167,157,5,359,7
500,1,223,169,5,426,6
250,0,91,75,6,244,7
450,1,198,166,5,365,6
50,0,17,15,5,24,5
25,0,10,10,4,12,5
450,0,158,149,6,403,7
200,0,72,61,4,139,6
25,1,11,9,3,20,4
250,1,108,101,5,230,7
250,0,93,82,5,197,7
300,1,138,127,4,242,6
350,1,160,132,5,283,6
25,0,11,9,4,17,4
150,0,64,56,6,128,6
300,0,114,95,5,224,6
350,0,132,116,5,249,6
450,1,195,147,5,369,6
400,1,176,121,4,166,5
250,0,93,90,4,195,7
50,0,23,17,5,48,5
350,0,141,112,5,308,6
250,0,97,81,6,207,6
400,1,187,152,4,331,5
250,0,86,80,5,205,6
100,1,43,38,4,39,5
100,0,37,32,4,56,6
500,1,191,182,4,430,6
350,0,127,115,6,268,7
500,0,172,152,6,478,7
350,1,151,109,5,285,6
100,0,39,35,5,65,5
450,0,171,149,5,347,7
150,1,69,56,4,64,5
500,0,182,138,6,489,7
450,0,164,141,5,412,7
100,0,42,41,5,51,5
50,0,21,21,3,40,4
300,1,123,116,4,252,6
200,0,74,66,5,146,6
200,0,82,73,5,178,7
200,1,89,75,4,103,5
300,1,129,114,4,237,6
100,1,53,45,4,97,5
250,0,94,81,5,164,6
450,1,201,152,5,357,6
